device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,70.96273391053826,0,1762745384.9235759,6.5250396728515625
sensor_f1r1_anomaly,anomaly,96.5755750108612,1,1762745385.93004,2.9168128967285156
sensor_f1r2_anomaly,anomaly,97.51023194284828,0,1762745385.9286716,4.496574401855469
sensor_f1r2_normal,normal,24.879584937337,0,1762745385.9301794,3.8251876831054688
sensor_f1r1_normal,normal,27.90141338845818,0,1762745385.9302802,7.114887237548828
sensor_f1r2_normal,normal,22.35593110806054,1,1762745386.9340274,3.082275390625
sensor_f1r1_anomaly,anomaly,95.31989884701309,2,1762745386.9349597,4.419803619384766
sensor_f2r1_anomaly,anomaly,78.7469498594066,0,1762745386.9332082,8.289098739624023
sensor_f1r3_anomaly,anomaly,76.78953537898954,0,1762745386.933225,12.609004974365234
sensor_f1r1_normal,normal,22.158929754123818,1,1762745386.936202,13.009071350097656
sensor_f1r2_anomaly,anomaly,55.30193177809831,1,1762745386.9350884,16.071081161499023
sensor_f1r3_normal,normal,24.75850907798797,0,1762745386.9336848,21.205425262451172
sensor_f1r1_anomaly,anomaly,54.72563066650182,3,1762745387.9370701,7.46464729309082
sensor_f1r2_normal,normal,29.208607758661163,2,1762745387.9369855,10.249137878417969
sensor_f2r2_anomaly,anomaly,70.56275653739425,0,1762745387.935843,15.458345413208008
sensor_f1r3_anomaly,anomaly,91.2499514596617,1,1762745387.9383023,16.170978546142578
sensor_f2r1_normal,normal,23.652680750922332,0,1762745387.935099,21.002769470214844
sensor_f2r1_anomaly,anomaly,59.27798924650563,1,1762745387.9384708,19.211769104003906
sensor_f2r2_normal,normal,22.788668789542932,0,1762745387.9350853,25.927066802978516
sensor_f1r2_anomaly,anomaly,57.715407181914635,2,1762745387.9389677,24.14703369140625
sensor_f1r1_normal,normal,24.950432902057926,2,1762745387.9392676,27.207612991333008
sensor_f1r3_normal,normal,26.414680835181716,1,1762745387.944948,29.598474502563477
sensor_f1r1_anomaly,anomaly,92.2536537454749,4,1762745388.9399633,1.575469970703125
sensor_f1r3_anomaly,anomaly,52.02146688931714,2,1762745388.9451814,6.509542465209961
