device,type,value,seq,timestamp_sent,delay_ms,phase
sensor_f1r1_anomaly,anomaly,85.11535677886457,0,1764523453.394272,1.3413429260253906,phase1
sensor_f1r1_anomaly,anomaly,66.09428986542592,1,1764523453.4148276,1.275777816772461,phase1
sensor_f1r1_anomaly,anomaly,88.35653757638076,2,1764523453.435373,0.8282661437988281,phase1
sensor_f1r1_anomaly,anomaly,97.88628415785263,3,1764523453.4557788,0.8554458618164062,phase1
sensor_f1r1_anomaly,anomaly,95.70753723755877,4,1764523453.4762785,1.0037422180175781,phase1
sensor_f1r1_anomaly,anomaly,58.22058725382706,5,1764523453.4967124,0.9362697601318359,phase1
sensor_f1r1_anomaly,anomaly,84.76961337010161,6,1764523453.517182,1.184701919555664,phase1
sensor_f1r1_anomaly,anomaly,50.68098068904732,7,1764523453.537663,1.0421276092529297,phase1
sensor_f1r1_anomaly,anomaly,67.69360222985014,8,1764523453.5582848,1.0166168212890625,phase1
sensor_f1r1_anomaly,anomaly,86.96528946678701,9,1764523453.5786881,0.9796619415283203,phase1
sensor_f1r1_anomaly,anomaly,57.295978352959736,10,1764523453.5991762,1.1982917785644531,phase1
sensor_f1r1_anomaly,anomaly,96.06608390184628,11,1764523453.6196027,0.7836818695068359,phase1
sensor_f1r1_anomaly,anomaly,88.07859976151616,12,1764523453.640072,0.8320808410644531,phase1
sensor_f1r1_anomaly,anomaly,85.91870637807739,13,1764523453.6605108,0.9684562683105469,phase1
sensor_f1r1_anomaly,anomaly,67.03580663227072,14,1764523453.680897,0.8249282836914062,phase1
sensor_f1r1_anomaly,anomaly,64.95097207233178,15,1764523453.7014017,0.8366107940673828,phase1
sensor_f1r1_anomaly,anomaly,82.12285620607594,16,1764523453.7218223,1.0776519775390625,phase1
sensor_f1r1_anomaly,anomaly,96.31813303324938,17,1764523453.7423565,0.7987022399902344,phase1
sensor_f1r1_anomaly,anomaly,89.19918345553984,18,1764523453.7630525,1.1398792266845703,phase1
sensor_f1r1_anomaly,anomaly,98.04928196690825,19,1764523453.7834358,0.8609294891357422,phase1
sensor_f1r1_anomaly,anomaly,63.90895588448159,20,1764523453.8037858,0.8895397186279297,phase1
sensor_f1r1_anomaly,anomaly,52.3743489361223,21,1764523453.8241832,0.6375312805175781,phase1
sensor_f1r1_anomaly,anomaly,97.63346827873548,22,1764523453.8445106,1.0776519775390625,phase1
sensor_f1r1_anomaly,anomaly,79.37583306686625,23,1764523453.8648965,0.9217262268066406,phase1
sensor_f1r1_anomaly,anomaly,97.31113480972044,24,1764523453.8853304,0.9522438049316406,phase1
sensor_f1r1_anomaly,anomaly,97.86306377276478,25,1764523453.9070091,0.7870197296142578,phase1
sensor_f1r1_anomaly,anomaly,55.72102254343157,26,1764523453.9273999,0.8051395416259766,phase1
sensor_f1r1_anomaly,anomaly,72.55204484669548,27,1764523453.947789,0.8249282836914062,phase1
sensor_f1r1_anomaly,anomaly,85.23005207671503,28,1764523453.9682148,0.8225440979003906,phase1
sensor_f1r1_anomaly,anomaly,91.82166296899578,29,1764523453.9886484,0.8680820465087891,phase1
sensor_f1r1_anomaly,anomaly,88.52325440567284,30,1764523454.0090652,0.8113384246826172,phase1
sensor_f1r1_anomaly,anomaly,57.54469496446589,31,1764523454.0294745,1.0704994201660156,phase1
sensor_f1r1_anomaly,anomaly,50.84476174983596,32,1764523454.0498693,1.0170936584472656,phase1
sensor_f1r1_anomaly,anomaly,57.52755076530372,33,1764523454.0703444,0.9615421295166016,phase1
sensor_f1r1_anomaly,anomaly,74.41630381193077,34,1764523454.0907216,0.9996891021728516,phase1
sensor_f1r1_anomaly,anomaly,87.67619131094213,35,1764523454.1111739,0.8640289306640625,phase1
sensor_f1r1_anomaly,anomaly,95.07220250219792,36,1764523454.1315482,0.8988380432128906,phase1
sensor_f1r1_anomaly,anomaly,52.15967728835868,37,1764523454.1519828,0.8776187896728516,phase1
sensor_f1r1_anomaly,anomaly,52.49688775656643,38,1764523454.1723602,0.8018016815185547,phase1
sensor_f1r1_anomaly,anomaly,71.74548866574752,39,1764523454.1927292,0.9787082672119141,phase1
