device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,59.825174999751,0,1762742693.7394938,5.46574592590332
sensor_f1r1_anomaly,anomaly,85.39735959711624,1,1762742694.7447796,1.4429092407226562
sensor_f1r2_anomaly,anomaly,78.2061822691177,0,1762742694.749961,3.5965442657470703
sensor_f1r1_normal,normal,27.365179446714276,0,1762742694.752265,3.3419132232666016
sensor_f1r2_normal,normal,23.02107910784406,0,1762742694.75287,3.6725997924804688
sensor_f1r1_anomaly,anomaly,55.987861773789184,2,1762742695.746096,1.997232437133789
sensor_f1r3_normal,normal,28.72089285183789,0,1762742695.7511287,3.7212371826171875
sensor_f1r2_anomaly,anomaly,94.2730771249584,1,1762742695.7534971,1.6880035400390625
sensor_f1r1_normal,normal,20.425695233841687,1,1762742695.7556362,2.578258514404297
sensor_f1r2_normal,normal,29.94603895176418,1,1762742695.7571158,2.1619796752929688
sensor_f2r1_anomaly,anomaly,58.86210971317597,0,1762742695.7826664,6.953954696655273
sensor_f1r3_anomaly,anomaly,85.82846076556798,0,1762742695.7942076,5.223274230957031
sensor_f1r1_anomaly,anomaly,85.51040636765144,3,1762742696.7476232,1.6314983367919922
sensor_f2r1_normal,normal,28.281010399012516,0,1762742696.7502441,4.0302276611328125
sensor_f1r3_normal,normal,28.979581877041078,1,1762742696.754537,1.2443065643310547
sensor_f2r2_anomaly,anomaly,79.78336755778821,0,1762742696.7530248,3.520965576171875
sensor_f1r2_anomaly,anomaly,89.47103519787592,2,1762742696.7553976,1.3744831085205078
sensor_f1r1_normal,normal,28.013363320808228,2,1762742696.7580035,0.9534358978271484
sensor_f1r2_normal,normal,29.46457700155785,2,1762742696.7589016,0.885009765625
sensor_f2r2_normal,normal,29.59434889809573,0,1762742696.7560399,4.623889923095703
sensor_f2r1_anomaly,anomaly,61.23781351061396,1,1762742696.7900844,2.1445751190185547
sensor_f1r3_anomaly,anomaly,87.2051154271667,1,1762742696.799297,2.3186206817626953
sensor_f1r1_anomaly,anomaly,94.23071864031547,4,1762742697.750074,2.4051666259765625
sensor_f2r1_normal,normal,26.502094361735637,1,1762742697.7541876,4.572629928588867
sensor_f1r3_normal,normal,27.651209969815636,2,1762742697.7558668,5.206584930419922
sensor_f1r2_anomaly,anomaly,78.98819147146286,3,1762742697.75706,4.443883895874023
sensor_f3r1_anomaly,anomaly,50.48209243272671,0,1762742697.7562823,5.558967590332031
sensor_f1r1_normal,normal,26.9502153906252,3,1762742697.759233,2.9473304748535156
sensor_f2r3_anomaly,anomaly,60.97240686182812,0,1762742697.7563407,6.131172180175781
sensor_f1r2_normal,normal,25.45386528540174,3,1762742697.7599869,2.749204635620117
sensor_f2r2_anomaly,anomaly,69.14555925225623,1,1762742697.7564638,6.567478179931641
sensor_f2r3_normal,normal,21.57593175513183,0,1762742697.7567205,6.901741027832031
sensor_f2r2_normal,normal,22.60899088937314,1,1762742697.7608945,3.063201904296875
sensor_f2r1_anomaly,anomaly,52.598842379659814,2,1762742697.7922328,1.7323493957519531
sensor_f1r3_anomaly,anomaly,86.01693416698669,2,1762742697.8014631,1.9190311431884766
sensor_f1r1_anomaly,anomaly,59.86582175209422,5,1762742698.7523699,2.429485321044922
sensor_f2r1_normal,normal,25.949887194431724,2,1762742698.7585642,3.786325454711914
sensor_f3r1_anomaly,anomaly,52.370181042651026,1,1762742698.7606165,7.983684539794922
sensor_f1r3_normal,normal,26.134509678033332,3,1762742698.760443,8.913755416870117
sensor_f2r3_anomaly,anomaly,72.44211117792656,1,1762742698.7610016,8.888721466064453
sensor_f1r2_normal,normal,27.923443229859245,4,1762742698.761349,9.301900863647461
sensor_f1r1_normal,normal,26.93137955301939,4,1762742698.7613657,9.84644889831543
sensor_f2r3_normal,normal,22.013855656058546,1,1762742698.76203,9.679079055786133
sensor_f2r2_normal,normal,21.79742522066091,2,1762742698.7627072,9.553909301757812
sensor_f1r2_anomaly,anomaly,51.518993788406426,4,1762742698.7607222,12.01629638671875
sensor_f3r2_anomaly,anomaly,66.07209555287938,0,1762742698.7606418,12.57014274597168
sensor_f2r2_anomaly,anomaly,84.69580052346711,2,1762742698.7634823,10.183572769165039
sensor_f2r1_anomaly,anomaly,59.22851063996349,3,1762742698.7939858,1.9192695617675781
sensor_f3r1_normal,normal,29.553686726750875,0,1762742698.796814,5.65338134765625
sensor_f3r2_normal,normal,24.27264089835655,0,1762742698.7979429,6.051301956176758
sensor_f1r3_anomaly,anomaly,75.50279189916247,3,1762742698.8033693,2.0542144775390625
sensor_f1r1_anomaly,anomaly,98.37356235337325,6,1762742699.7541234,1.255035400390625
