device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,91.56170882402249,0,1762745732.8817966,6.581306457519531
sensor_f1r1_anomaly,anomaly,98.573677117123,1,1762745733.8878841,3.8976669311523438
sensor_f1r2_normal,normal,26.040900807252264,0,1762745733.8892744,4.013538360595703
sensor_f1r2_anomaly,anomaly,92.53128943256158,0,1762745733.8914976,3.343820571899414
sensor_f1r1_normal,normal,20.492472993053855,0,1762745733.8990924,4.916191101074219
sensor_f1r1_anomaly,anomaly,76.68714219002163,2,1762745734.8910992,2.9268264770507812
sensor_f1r2_normal,normal,20.804594156866553,1,1762745734.8939779,2.0568370819091797
sensor_f1r2_anomaly,anomaly,66.36041502546874,1,1762745734.8951085,3.1082630157470703
sensor_f2r1_anomaly,anomaly,50.911920220160056,0,1762745734.896409,4.264593124389648
sensor_f1r3_anomaly,anomaly,81.46759643339996,0,1762745734.8968496,5.323648452758789
sensor_f1r3_normal,normal,20.01283075662424,0,1762745734.8977993,24.938106536865234
sensor_f1r1_normal,normal,23.18408340609899,1,1762745734.903837,53.00331115722656
sensor_f1r1_anomaly,anomaly,64.09304095450173,3,1762745735.8950021,2.3398399353027344
sensor_f1r2_normal,normal,28.0001889883201,2,1762745735.8961308,1.6758441925048828
sensor_f1r2_anomaly,anomaly,77.75136001794236,2,1762745735.8979743,1.7278194427490234
sensor_f2r1_anomaly,anomaly,77.22418689314233,1,1762745735.9004939,1.5423297882080078
sensor_f1r3_anomaly,anomaly,98.12960578249599,1,1762745735.9020085,25.82859992980957
sensor_f2r1_normal,normal,27.282208861948142,0,1762745735.8996286,33.789873123168945
sensor_f2r2_normal,normal,27.072539301899035,0,1762745735.9002318,39.101362228393555
sensor_f2r2_anomaly,anomaly,58.51508112721544,0,1762745735.900334,49.74937438964844
sensor_f1r3_normal,normal,26.491453129794294,1,1762745735.9224699,105.13472557067871
sensor_f1r1_normal,normal,25.517378116857717,2,1762745735.9567225,104.41064834594727
sensor_f1r1_anomaly,anomaly,92.63399076188045,4,1762745736.89622,2.2759437561035156
sensor_f1r2_normal,normal,26.019631899429992,3,1762745736.897464,1.8246173858642578
sensor_f1r2_anomaly,anomaly,53.73806290566082,3,1762745736.899436,1.7781257629394531
sensor_f2r1_anomaly,anomaly,99.23221399545616,2,1762745736.9018407,1.6858577728271484
sensor_f2r3_normal,normal,21.16234808304386,0,1762745736.90486,4.022121429443359
sensor_f2r3_anomaly,anomaly,87.71250037707932,0,1762745736.9064329,21.274089813232422
sensor_f3r1_anomaly,anomaly,77.65426261342198,0,1762745736.907607,53.99441719055176
sensor_f1r3_anomaly,anomaly,74.23529143829026,2,1762745736.9281678,55.615901947021484
sensor_f2r1_normal,normal,25.892832530403737,1,1762745736.933354,78.38010787963867
sensor_f2r2_normal,normal,25.896605517785005,1,1762745736.9390314,83.42313766479492
sensor_f2r2_anomaly,anomaly,78.50003711796327,1,1762745736.9498599,93.9791202545166
sensor_f1r3_normal,normal,22.192486403629506,2,1762745737.027443,71.11549377441406
sensor_f1r1_normal,normal,22.336764509614508,3,1762745737.0609944,48.05612564086914
sensor_f1r1_anomaly,anomaly,70.75671933226533,5,1762745737.8990445,2.4526119232177734
sensor_f1r2_normal,normal,21.8059661817101,4,1762745737.899051,2.804279327392578
sensor_f1r2_anomaly,anomaly,82.57510986188012,4,1762745737.9021196,2.397775650024414
sensor_f2r1_anomaly,anomaly,85.13805033625866,3,1762745737.903665,1.924276351928711
sensor_f2r3_normal,normal,29.028724050535295,1,1762745737.9090507,1.9431114196777344
sensor_f3r1_normal,normal,27.329847293771213,0,1762745737.9090016,27.404069900512695
sensor_f3r2_normal,normal,22.02607706746697,0,1762745737.9089715,38.330793380737305
sensor_f3r2_anomaly,anomaly,66.17200300621445,0,1762745737.9104998,88.84310722351074
sensor_f2r3_anomaly,anomaly,78.33177907388036,1,1762745737.927552,81.00175857543945
sensor_f3r1_anomaly,anomaly,70.11111433441762,1,1762745737.9614558,103.06525230407715
sensor_f1r3_anomaly,anomaly,87.12876130180553,3,1762745737.9836354,97.73778915405273
sensor_f2r1_normal,normal,21.513955896260853,2,1762745738.011388,86.92288398742676
sensor_f2r2_normal,normal,25.831377655685472,2,1762745738.0224907,97.48625755310059
sensor_f2r2_anomaly,anomaly,97.33672653560205,2,1762745738.0439887,97.17202186584473
sensor_f1r3_normal,normal,24.63444747045704,3,1762745738.0980966,97.37706184387207
sensor_f1r1_normal,normal,24.64068852601208,4,1762745738.1089082,97.59092330932617
sensor_f1r2_normal,normal,20.993435230815948,5,1762745738.901833,2.839803695678711
sensor_f1r1_anomaly,anomaly,57.626742180417665,6,1762745738.9013865,3.6020278930664062
sensor_f1r2_anomaly,anomaly,87.00990149520096,5,1762745738.9054215,1.8537044525146484
sensor_f2r1_anomaly,anomaly,99.85284751227327,4,1762745738.9069684,2.082347869873047
sensor_f2r3_normal,normal,20.389067992996544,2,1762745738.9112484,1.6026496887207031
sensor_f3r1_normal,normal,23.493493927532036,1,1762745738.9371924,1.6236305236816406
sensor_f3r3_anomaly,anomaly,87.35762254543519,0,1762745738.9371862,16.094684600830078
sensor_f3r2_normal,normal,21.24662576423473,1,1762745738.9474354,37.42241859436035
sensor_f3r3_normal,normal,26.215653422910012,0,1762745738.949419,69.13566589355469
sensor_f3r2_anomaly,anomaly,65.84880103198269,1,1762745738.9982107,53.38478088378906
sensor_f2r3_anomaly,anomaly,59.4956414244875,2,1762745739.008696,53.498029708862305
sensor_f3r1_anomaly,anomaly,65.547235438844,2,1762745739.064595,41.457414627075195
sensor_f1r3_anomaly,anomaly,70.94479494459138,4,1762745739.081503,35.81500053405762
sensor_f2r1_normal,normal,22.30928069629906,3,1762745739.0983143,62.7748966217041
sensor_f2r2_normal,normal,21.84309093653563,3,1762745739.11956,57.9831600189209
sensor_f2r2_anomaly,anomaly,56.361127905083606,3,1762745739.1410906,58.161258697509766
sensor_f1r3_normal,normal,25.496064581995135,4,1762745739.1956425,47.34635353088379
sensor_f1r1_normal,normal,23.718489512846645,5,1762745739.2064037,47.777414321899414
sensor_f1r1_anomaly,anomaly,78.4576670697539,7,1762745739.9034576,3.030538558959961
sensor_f1r2_normal,normal,28.336718202854406,6,1762745739.9040575,2.9222965240478516
sensor_f1r2_anomaly,anomaly,61.13603318514107,6,1762745739.9068258,1.8830299377441406
sensor_f2r1_anomaly,anomaly,62.464104051583575,5,1762745739.9087524,2.1026134490966797
sensor_f2r3_normal,normal,29.77106912622986,3,1762745739.912993,1.5823841094970703
sensor_f3r1_normal,normal,27.45163084174277,2,1762745739.9392133,2.328157424926758
sensor_f3r3_anomaly,anomaly,64.95015616524321,1,1762745739.9531481,2.312183380126953
sensor_f3r2_normal,normal,29.646623991808966,2,1762745739.984474,2.180337905883789
sensor_f3r3_normal,normal,20.15597631577724,1,1762745740.0182734,2.114534378051758
sensor_f3r2_anomaly,anomaly,84.33345077870327,2,1762745740.051403,2.0825862884521484
sensor_f2r3_anomaly,anomaly,58.49579103675666,3,1762745740.062144,1.9695758819580078
sensor_f3r1_anomaly,anomaly,96.74122845698605,3,1762745740.106017,2.0046234130859375
sensor_f1r3_anomaly,anomaly,67.68495763344515,5,1762745740.116861,2.2470951080322266
sensor_f2r1_normal,normal,21.54212589118621,4,1762745740.160772,2.378225326538086
sensor_f2r2_normal,normal,24.71635366461453,4,1762745740.1774552,2.6013851165771484
sensor_f2r2_anomaly,anomaly,78.5063165710902,4,1762745740.1988564,2.256631851196289
sensor_f1r3_normal,normal,28.490514734753898,5,1762745740.2428765,2.2957324981689453
sensor_f1r1_normal,normal,21.84118121026453,6,1762745740.253703,2.1486282348632812
sensor_f1r2_normal,normal,22.327785855434396,7,1762745740.9063177,2.886533737182617
sensor_f1r1_anomaly,anomaly,64.6605033223697,8,1762745740.9061656,3.5178661346435547
sensor_f1r2_anomaly,anomaly,58.877823521594834,7,1762745740.909539,2.2754669189453125
sensor_f2r1_anomaly,anomaly,84.67251543776703,6,1762745740.910823,2.3851394653320312
sensor_f2r3_normal,normal,27.482332320652745,4,1762745740.9147582,1.9841194152832031
sensor_f3r1_normal,normal,27.16167520213022,3,1762745740.9415312,2.1941661834716797
sensor_f3r3_anomaly,anomaly,90.76180992874504,2,1762745740.9556026,2.1796226501464844
sensor_f3r2_normal,normal,26.535707474338878,3,1762745740.9867249,2.360820770263672
sensor_f3r3_normal,normal,25.298158510866344,2,1762745741.0205212,2.201080322265625
sensor_f3r2_anomaly,anomaly,56.590090795960265,3,1762745741.053577,2.2270679473876953
sensor_f2r3_anomaly,anomaly,71.19860406958152,4,1762745741.0642276,2.849102020263672
sensor_f3r1_anomaly,anomaly,83.61147224476483,4,1762745741.1080763,2.4471282958984375
sensor_f1r3_anomaly,anomaly,52.93993932703119,6,1762745741.1193123,2.750396728515625
sensor_f2r1_normal,normal,20.77638129138482,5,1762745741.1633964,2.527475357055664
sensor_f2r2_normal,normal,25.356431796379788,5,1762745741.1797836,2.1152496337890625
sensor_f2r2_anomaly,anomaly,89.89172084420164,5,1762745741.2013247,2.7320384979248047
sensor_f1r3_normal,normal,20.163187499624552,6,1762745741.2453089,3.3750534057617188
sensor_f1r1_normal,normal,26.94150031169649,7,1762745741.2561088,2.874135971069336
